manchete,subtopico,link,topico,jornal
Microsoft Targets Nuclear to Power AI Operations,-,https://www.wsj.com/tech/ai/microsoft-targets-nuclear-to-power-ai-operations-e10ff798?mod=ai_news_article_pos5,ia,wsj
,,,,
Bond fund giant Pimco warns of ‘hard landing’ for UK economy,Sovereign bonds,https://www.ft.com/content/a2e7787a-d64c-46ab-9b6f-62897a547616,economia,ft
Yen falls after Bank of Japan sticks with negative interest rates,Bank of Japan,https://www.ft.com/content/769e2620-c35f-47ae-be25-8bc33b793820,economia,ft
BlackRock sued by Tennessee over ESG strategies,ESG investing,https://www.ft.com/content/552f23c0-e12e-4e94-8e0b-4d4cd733067b,economia,ft
Galaxy targets more crypto bankruptcy asset sales after FTX deal,Cryptocurrencies,https://www.ft.com/content/6279dd10-6232-43d4-b2c9-c902a9f59461,economia,ft
The Fed should resist market bullying,Mohamed El-Erian,https://www.ft.com/content/7d252519-b2be-4258-9b97-774e86584901,economia,ft
Higher for longer lives on,Robert Armstrong,https://www.ft.com/content/cc1e3f19-be69-4eeb-87f4-8119e925ca59,economia,ft
Meta faces accusations over content moderation in Israel-Hamas conflict,Meta Platforms,https://www.ft.com/content/4916762d-db34-40e7-81d9-765576948868,tech,ft
Google to pay $700mn in antitrust settlement over Android app store,Google LLC,https://www.ft.com/content/e7f7c7d6-79b4-4de4-aa4b-f656546a91ca,tech,ft
Apple halts US sales of Watch before Christmas after losing patent case,Apple Inc,https://www.ft.com/content/52a15bec-8dc2-4a19-9749-8b353c53035c,tech,ft
Accenture chief says most companies not ready for AI rollout,Artificial intelligence,https://www.ft.com/content/5d280f04-4aac-4295-8fb1-8571fab71046,tech,ft
Andrew Ng: ‘Do we think the world is better off with more or less intelligence?’,Tech Exchange,https://www.ft.com/content/2dc07f9e-d2a9-4d98-b746-b051f9352be3,tech,ft
Adobe/Figma: tech M&A suffers design failure  ,Adobe Systems Inc,https://www.ft.com/content/e5de98d7-671c-4f2a-ae63-57f2f92eb857,tech,ft
FT Person of the Year: Lars Fruergaard Jørgensen of Novo Nordisk,The Big Read,https://www.ft.com/content/d4d289a7-e1a5-4848-8e7e-b592f7018722,deep_dive,ft
How China’s slowdown is deepening Hong Kong’s ‘existential crisis’,The Big Read,https://www.ft.com/content/e4d8640e-91a6-4b70-aae3-6ab9a879d1dc,deep_dive,ft
Congo’s election: a chance to finally meet its economic potential?,The Big Read,https://www.ft.com/content/2781543f-8099-4275-914b-b798db3e69f2,deep_dive,ft
The new climate commitments that really count,The Big Read,https://www.ft.com/content/af71fc48-b89f-4920-a35b-2867b7adcc0c,deep_dive,ft
Can Japan’s legendary savers spark a stock market boom?,The Big Read,https://www.ft.com/content/23b560a4-f0f1-44a9-94af-88d4807211f4,deep_dive,ft
The unexpected revival of America’s trade unions,The Big Read,https://www.ft.com/content/72917cda-5eea-41f5-bd9b-19436269344e,deep_dive,ft
